transaction_id,vendor,department,payment_terms,invoice_date,due_date,payment_date,invoice_amount,paid_amount,anomaly_type,is_anomaly,payment_delay_days,processing_time_days,payment_ratio,amount_zscore_vendor,amount_zscore_overall,vendor_monthly_count,log_amount,predicted_anomaly,anomaly_score
TXN-0377,Aramco Services,Logistics,Immediate,2023-01-17,2023-01-17,2023-01-16,19887.7,19887.7,Normal,0,-1,-1,1.0,0.9116814927556188,0.0506918372280969,4,9.89790701023487,0,0.4197392695430862
TXN-0455,Riyadh Logistics,Logistics,Net 60,2023-01-19,2023-03-20,2023-03-27,6475.58,6475.58,Normal,0,7,67,1.0,-0.635874739505705,-0.2286388081340287,2,8.775947872244828,0,0.4069674312258911
TXN-0362,Riyadh Logistics,Procurement,Net 15,2023-01-19,2023-02-03,2023-02-07,33731.63,33731.63,Normal,0,4,19,1.0,1.814910530460553,0.3390156742686313,2,10.42622089714766,0,0.46489409426346207
TXN-0456,Jeddah Wholesale,Operations,Net 90,2023-01-20,2023-04-20,2023-04-15,5248.52,5248.52,Normal,0,-5,85,1.0,-0.5871019174032891,-0.2541944594179458,2,8.565891922834394,0,0.44341049625955314
TXN-0425,Madinah Goods,Procurement,Net 30,2023-01-20,2023-02-19,2023-02-18,16585.78,16585.78,Normal,0,-1,29,1.0,0.2881643710082006,-0.0180763697767695,4,9.716361271519036,0,0.37629460415981225
TXN-0519,Al-Rajhi Supplies,Procurement,Immediate,2023-01-21,2023-01-18,2023-01-15,25000.0,25000.0,Duplicate Vendor,1,-3,-6,1.0,0.1012193190977803,0.1571643455477955,3,10.12667110305036,0,0.43104307296690775
TXN-0363,Gulf Trading Co.,Procurement,Net 60,2023-01-22,2023-03-23,2023-03-28,9072.4,9072.4,Normal,0,5,65,1.0,-0.203783950334328,-0.1745555307334928,4,9.113102335048929,0,0.3637491073944974
TXN-0261,Madinah Goods,Operations,Immediate,2023-01-23,2023-01-23,2023-01-27,4714.77,4714.77,Normal,0,4,4,1.0,-0.7041132062539854,-0.2653107282823784,4,8.45866749032377,0,0.3916783080722738
TXN-0481,Gulf Trading Co.,IT,Net 30,2023-01-24,2023-02-23,2023-03-03,8934.41,8934.41,Normal,0,8,38,1.0,-0.2056864499208752,-0.1774294116526554,4,9.097777313502142,0,0.3625568252219661
TXN-0499,Eastern Retail Ltd,IT,Net 15,2023-01-25,2023-02-09,2023-02-15,4912.34,4912.34,Normal,0,6,21,1.0,-0.2227479135274359,-0.2611959905970464,1,8.499709233926401,0,0.43636841676059485
TXN-0410,Gulf Trading Co.,Operations,Net 30,2023-01-26,2023-02-25,2023-03-01,14936.32,14936.32,Normal,0,4,34,1.0,-0.1229367485403858,-0.0524292331793495,4,9.611618058392056,0,0.3626122421231151
TXN-0129,Jeddah Wholesale,Procurement,Immediate,2023-01-27,2023-01-27,2023-02-02,10718.44,10718.44,Normal,0,6,6,1.0,-0.282826314778701,-0.1402738947585781,2,9.279814194454328,0,0.39662742088574876
TXN-0190,Madinah Goods,Logistics,Net 15,2023-01-28,2023-02-12,2023-02-13,2945.76,2945.76,Normal,0,1,16,1.0,-0.8519817496174044,-0.302153427643259,4,7.988461540670107,0,0.4032599953138959
TXN-0310,Noor Packaging,Finance,Immediate,2023-01-29,2023-01-29,2023-02-04,8419.0,8419.0,Normal,0,6,6,1.0,-0.3175385189884042,-0.1881637182295496,4,9.038365107236372,0,0.3693948752697579
TXN-0033,Aramco Services,Finance,Net 60,2023-01-30,2023-03-31,2023-04-02,9790.84,9790.84,Normal,0,2,62,1.0,-0.3327843651735956,-0.159592772507801,4,9.18930466474933,0,0.367606695284601
TXN-0058,Madinah Goods,IT,Net 60,2023-01-30,2023-03-31,2023-03-28,7728.19,7728.19,Normal,0,-3,57,1.0,-0.452226543124781,-0.2025510338159453,4,8.95275934954505,0,0.37615523058009875
TXN-0169,Noor Packaging,IT,Immediate,2023-01-31,2023-01-31,2023-01-29,8133.04,8133.04,Normal,0,-2,-2,1.0,-0.3276452339376554,-0.1941193308655648,4,9.003813004084781,0,0.3875833934003238
TXN-0176,Noor Packaging,Operations,Net 30,2023-01-31,2023-03-02,2023-03-02,19182.36,19182.36,Normal,0,0,30,1.0,0.0628720678635054,0.0360019092077898,4,9.861798515576522,0,0.37165931098064625
TXN-0482,Aramco Services,Procurement,Immediate,2023-01-31,2023-01-31,2023-01-28,4608.08,4608.08,Normal,0,-3,-3,1.0,-0.9715738373304064,-0.2675327324512708,4,8.435783549914198,0,0.42477908452844854
TXN-0474,SABIC Materials,IT,Net 30,2023-02-01,2023-03-03,2023-03-04,29539.97,29539.97,Normal,0,1,31,1.0,1.1195869509098488,0.2517170896348369,5,10.293533392377668,0,0.40331738771891085
TXN-0117,Madinah Goods,Logistics,Net 15,2023-02-01,2023-02-16,2023-02-17,9626.07,9626.07,Normal,0,1,16,1.0,-0.293585975192115,-0.1630243933430095,6,9.1723342009679,0,0.3668889873015662
TXN-0498,Eastern Retail Ltd,Finance,Net 90,2023-02-01,2023-05-02,2023-05-02,8499.21,8499.21,Normal,0,0,90,1.0,-0.1936291310770951,-0.1864932059567325,4,9.047846148055577,0,0.3843172287924741
TXN-0467,Noor Packaging,Finance,Net 60,2023-02-01,2023-04-02,2023-03-31,16176.8,16176.8,Normal,0,-2,58,1.0,-0.0433537615632373,-0.0265940871354124,2,9.691395211033932,0,0.4025298714681968
TXN-0039,SABIC Materials,Operations,Net 60,2023-02-02,2023-04-03,2023-04-08,3420.19,3420.19,Normal,0,5,65,1.0,-0.7098696256027035,-0.2922726005943545,5,8.137743722751344,0,0.39236934191885803
TXN-0018,Aramco Services,Logistics,Net 90,2023-02-03,2023-05-04,2023-05-05,12725.94,12725.94,Normal,0,1,91,1.0,0.0289748094220744,-0.09846422778837,6,9.451476285594197,0,0.4003799843308048
TXN-0059,Riyadh Logistics,Procurement,Immediate,2023-02-04,2023-02-04,2023-02-06,12900.36,12900.36,Normal,0,2,2,1.0,-0.0581770838742462,-0.0948316289774391,5,9.465088011149383,0,0.3781269963081232
TXN-0271,Aramco Services,Operations,Net 15,2023-02-04,2023-02-19,2023-02-16,31351.54,31351.54,Normal,0,-3,12,1.0,2.324631407953338,0.2894461747622192,6,10.353050563512715,0,0.47356960086068195
TXN-0282,Riyadh Logistics,IT,Net 15,2023-02-05,2023-02-20,2023-02-19,16809.59,16809.59,Normal,0,-1,14,1.0,0.2933295834862184,-0.0134151386113387,5,9.729764323942597,0,0.3799659982234851
TXN-0209,Riyadh Logistics,Logistics,Net 60,2023-02-08,2023-04-09,2023-04-19,14943.6,14943.6,Normal,0,10,70,1.0,0.1255451537576137,-0.0522776145613953,5,9.612105309555572,0,0.39461415683468826
TXN-0075,Madinah Goods,Procurement,Net 30,2023-02-08,2023-03-10,2023-03-09,1217.07,1217.07,Normal,0,-1,29,1.0,-0.996480012615866,-0.3381563931200854,6,7.1050229178828,0,0.4641038788950887
TXN-0012,Al-Rajhi Supplies,Operations,Net 90,2023-02-10,2023-05-11,2023-05-13,6818.65,6818.65,Normal,0,2,92,1.0,-0.3223460080563675,-0.2214937807629356,2,8.827563429872516,0,0.4164472925085218
TXN-0010,Madinah Goods,Procurement,Net 15,2023-02-10,2023-02-25,2023-03-01,15276.15,15276.15,Normal,0,4,19,1.0,0.1786946221401703,-0.0453516844239394,6,9.634113526999196,0,0.37364821978669427
TXN-0340,Madinah Goods,Procurement,Net 90,2023-02-12,2023-05-13,2023-05-13,6304.51,6304.51,Normal,0,0,90,1.0,-0.5712295379160102,-0.2322016373886207,6,8.749179133311728,0,0.39821278274891797
TXN-0002,Riyadh Logistics,Procurement,Immediate,2023-02-14,2023-02-14,2023-02-22,8860.77,8860.77,Normal,0,8,8,1.0,-0.4214053458088626,-0.1789630922881155,5,9.089501797913272,0,0.37576136697356993
TXN-0384,Jeddah Wholesale,Operations,Net 15,2023-02-14,2023-03-01,2023-03-06,6498.95,6498.95,Normal,0,5,20,1.0,-0.5175441648603152,-0.2281520873783157,2,8.77954976354645,0,0.3943520449283419
TXN-0463,Eastern Retail Ltd,IT,Net 90,2023-02-14,2023-05-15,2023-05-22,5654.57,5654.57,Normal,0,7,97,1.0,-0.2167223720670215,-0.2457377643876827,4,8.640396179226638,0,0.394208521066905
TXN-0237,Eastern Retail Ltd,IT,Net 90,2023-02-16,2023-05-17,2023-05-24,1958.41,1958.41,Normal,0,7,97,1.0,-0.2467283881595065,-0.3227167027033014,4,7.580398686500662,0,0.44004052103015845
TXN-0181,KSA Office Depot,Finance,Net 30,2023-02-16,2023-03-18,2023-03-20,16326.32,16326.32,Normal,0,2,32,1.0,0.3041372107107515,-0.0234800739820448,1,9.700595057370617,0,0.4412391162642466
TXN-0250,Gulf Trading Co.,Procurement,Net 15,2023-02-16,2023-03-03,2023-03-04,13684.04,13684.04,Normal,0,1,16,1.0,-0.1402022183732822,-0.0785101346754652,3,9.524058544378802,0,0.3702096912233617
TXN-0051,Al-Rajhi Supplies,IT,Net 30,2023-02-17,2023-03-19,2023-03-21,12826.48,12826.48,Normal,0,2,32,1.0,-0.1823834376511718,-0.0963703080288757,2,9.45934502366464,0,0.38390640970256046
TXN-0505,SABIC Materials,Logistics,Net 90,2023-02-17,2023-05-18,2023-05-19,0.0,0.0,Zero Amount,1,1,91,0.0,-0.9494232929162286,-0.3635039853389801,5,0.0,1,0.6856137610850602
TXN-0272,SABIC Materials,Procurement,Net 15,2023-02-19,2023-03-06,2023-03-12,3137.9,3137.9,Normal,0,6,21,1.0,-0.7296415110084661,-0.2981517791193956,5,8.05162769905511,0,0.3952562512693729
TXN-0045,Eastern Retail Ltd,Operations,Net 30,2023-02-19,2023-03-21,2023-03-29,3032.62,3032.62,Normal,0,8,38,1.0,-0.238007780137476,-0.300344417594426,4,8.017511904865975,0,0.39075409999542216
TXN-0248,Jeddah Wholesale,Operations,Net 90,2023-02-20,2023-05-21,2023-05-27,5868.4,5868.4,Normal,0,6,96,1.0,-0.5526198115306384,-0.241284384019942,2,8.677507692947103,0,0.42637397927331605
TXN-0267,Madinah Goods,IT,Net 15,2023-02-20,2023-03-07,2023-03-05,36531.46,36531.46,Normal,0,-2,13,1.0,1.9553899084516733,0.3973269867833002,6,10.505956459432722,0,0.4655089321541283
TXN-0492,Gulf Trading Co.,Operations,Net 30,2023-02-21,2023-03-23,2023-03-19,32336.61,32336.61,Normal,0,-4,26,1.0,0.1169650163034582,0.3099619648704846,3,10.383986228112,0,0.43065229304776037
TXN-0007,Riyadh Logistics,Operations,Net 90,2023-02-22,2023-05-23,2023-05-20,35009.34,35009.34,Normal,0,-3,87,1.0,1.9297985222014176,0.3656261995909249,5,10.463398725412551,0,0.4925396721422586
TXN-0305,Aramco Services,Operations,Net 60,2023-02-22,2023-04-23,2023-04-22,9733.01,9733.01,Normal,0,-1,59,1.0,-0.3399120722591694,-0.1607971824908083,6,9.183381217719766,0,0.37443490653294226
TXN-0370,Madinah Goods,Finance,Net 90,2023-02-22,2023-05-23,2023-05-20,5332.59,5332.59,Normal,0,-3,87,1.0,-0.6524706810784423,-0.2524435559548397,6,8.581779836395839,0,0.41039963675472896
TXN-0137,SABIC Materials,IT,Net 60,2023-02-22,2023-04-23,2023-04-27,5289.07,5289.07,Normal,0,4,64,1.0,-0.5789713252834521,-0.2533499353852474,5,8.573586757278974,0,0.3784000034390598
TXN-0457,Noor Packaging,IT,Immediate,2023-02-24,2023-02-24,2023-03-01,9084.96,9084.96,Normal,0,5,5,1.0,-0.2940014232840984,-0.1742939469640553,2,9.114485643932374,0,0.3989475573273165
TXN-0224,Gulf Trading Co.,Logistics,Net 15,2023-02-24,2023-03-11,2023-03-13,2723.92,2723.92,Normal,0,2,17,1.0,-0.2913118913097857,-0.3067736301442159,3,7.910194348868231,0,0.4057134889284305
TXN-0408,Aramco Services,IT,Immediate,2023-02-24,2023-02-24,2023-03-01,8831.64,8831.64,Normal,0,5,5,1.0,-0.4510084121471798,-0.1795697750272648,6,9.08620922965962,0,0.3851803525660127
TXN-0260,Aramco Services,IT,Immediate,2023-02-25,2023-02-25,2023-03-06,18392.67,18392.67,Normal,0,9,9,1.0,0.7274149196249706,0.0195552462390706,6,9.819761862668893,0,0.4078091747866985
TXN-0380,Aramco Services,Finance,Net 60,2023-02-28,2023-04-29,2023-04-24,5184.15,5184.15,Normal,0,-5,55,1.0,-0.9005716201284958,-0.255535076236313,6,8.553554049849803,0,0.41699877391446716
TXN-0243,Al-Rajhi Supplies,Finance,Net 15,2023-03-01,2023-03-16,2023-03-14,14823.81,14823.81,Normal,0,-2,13,1.0,-0.1358522540545305,-0.0547724489356724,5,9.604057407594928,0,0.37438646793393743
TXN-0069,SABIC Materials,Operations,Net 90,2023-03-01,2023-05-30,2023-05-28,13217.66,13217.66,Normal,0,-2,88,1.0,-0.0236446296538695,-0.0882233065218242,5,9.489384746694872,0,0.3886370886764948
TXN-0293,Noor Packaging,Finance,Net 90,2023-03-03,2023-06-01,2023-05-27,6176.51,6176.51,Normal,0,-5,85,1.0,-0.3967950835657796,-0.234867459242761,7,8.728670556639278,0,0.4185531806508324
TXN-0193,Noor Packaging,Logistics,Net 15,2023-03-04,2023-03-19,2023-03-14,11746.08,11746.08,Normal,0,-5,10,1.0,-0.1999491737185952,-0.1188715106164786,7,9.37135997805012,0,0.3981444659068172
TXN-0350,Noor Packaging,Operations,Net 90,2023-03-04,2023-06-02,2023-05-29,8343.54,8343.54,Normal,0,-4,86,1.0,-0.3202055098615,-0.1897353035194982,7,9.029362711748576,0,0.4118748494066208
TXN-0238,Al-Rajhi Supplies,Finance,Immediate,2023-03-05,2023-03-05,2023-03-14,11489.21,11489.21,Normal,0,9,9,1.0,-0.213537406143249,-0.1242212735826741,5,9.349250647438186,0,0.3768151568908817
TXN-0366,Al-Rajhi Supplies,Finance,Net 90,2023-03-05,2023-06-03,2023-06-09,7179.78,7179.78,Normal,0,6,96,1.0,-0.3139328733554142,-0.21397262258961,5,8.879163291239397,0,0.3906838666690257
TXN-0035,SABIC Materials,IT,Net 60,2023-03-07,2023-05-06,2023-05-16,19111.32,19111.32,Normal,0,10,70,1.0,0.3891534508326034,0.0345223780787419,5,9.85808843227276,0,0.4027226595244779
TXN-0422,KSA Office Depot,IT,Net 30,2023-03-07,2023-04-06,2023-04-04,40306.69,40306.69,Normal,0,-2,28,1.0,2.3304131080719968,0.4759526948958476,3,10.604297548589733,0,0.4855084335286903
TXN-0294,Jeddah Wholesale,Logistics,Net 60,2023-03-08,2023-05-07,2023-05-14,19529.5,19529.5,Normal,0,7,67,1.0,0.2073071042221989,0.0432317013831512,2,9.879732625181513,0,0.40680555172105837
TXN-0383,Jeddah Wholesale,Operations,Net 30,2023-03-11,2023-04-10,2023-04-07,1809.64,1809.64,Normal,0,-3,27,1.0,-0.7783967232420662,-0.3258150958067424,2,7.5014356529214705,0,0.46596533749250885
TXN-0338,Riyadh Logistics,Operations,Immediate,2023-03-12,2023-03-12,2023-03-15,7653.29,7653.29,Normal,0,3,3,1.0,-0.5299784588527137,-0.2041109561352821,2,8.943021553953544,0,0.4087335582597597
TXN-0520,Al-Rajhi Supplies,Procurement,Net 15,2023-03-12,2023-03-27,2023-03-29,0.0,0.0,Zero Amount,1,2,17,0.0,-0.4811980029852165,-0.3635039853389801,5,0.0,1,0.6649973002193159
TXN-0518,Riyadh Logistics,Finance,Net 60,2023-03-13,2023-05-12,2023-05-22,4527.64,702.75,Partial Payment,1,10,70,0.1552133120124391,-0.8110278764708219,-0.2692080348727321,2,8.418176952651256,1,0.605262441908782
TXN-0242,Noor Packaging,Logistics,Net 30,2023-03-13,2023-04-12,2023-04-08,9029.13,9029.13,Normal,0,-4,26,1.0,-0.2959746289618739,-0.1754567034805916,7,9.10832204276366,0,0.3884234512315084
TXN-0236,SABIC Materials,Logistics,Net 30,2023-03-14,2023-04-13,2023-04-15,16434.45,16434.45,Normal,0,2,32,1.0,0.2016626899621384,-0.0212280793172933,5,9.707195866313684,0,0.3702046710032363
TXN-0341,Noor Packaging,Logistics,Immediate,2023-03-17,2023-03-17,2023-03-25,5126.73,5126.73,Normal,0,8,8,1.0,-0.4338975706948357,-0.2567309472586938,7,8.542418345108251,0,0.39607290905744164
TXN-0322,Noor Packaging,Finance,Immediate,2023-03-18,2023-03-18,2023-03-23,15932.65,15932.65,Normal,0,5,5,1.0,-0.0519827811983599,-0.0316789340548527,7,9.67618850409093,0,0.38794399729759665
TXN-0165,KSA Office Depot,Procurement,Net 60,2023-03-18,2023-05-17,2023-05-21,21390.47,21390.47,Normal,0,4,64,1.0,0.7320440814396832,0.0819896271323657,3,9.970747523417751,0,0.40477166925194163
TXN-0525,SABIC Materials,Procurement,Immediate,2023-03-18,2023-03-18,2023-03-20,0.0,0.0,Zero Amount,1,2,2,0.0,-0.9494232929162286,-0.3635039853389801,5,0.0,1,0.6793002728651647
TXN-0470,Gulf Trading Co.,Operations,Net 15,2023-03-20,2023-04-04,2023-04-13,6243.81,6243.81,Normal,0,9,24,1.0,-0.242782365476814,-0.2334658200960138,2,8.739505997757377,0,0.3968096500574538
TXN-0329,Gulf Trading Co.,Operations,Net 60,2023-03-21,2023-05-20,2023-05-17,16306.12,16306.12,Normal,0,-3,57,1.0,-0.1040510036773348,-0.0239007739934013,2,9.699357101237169,0,0.4061815064494432
TXN-0284,Eastern Retail Ltd,Logistics,Net 90,2023-03-22,2023-06-20,2023-06-26,3676.61,3676.61,Normal,0,6,96,1.0,-0.2327797666577025,-0.286932209658115,2,8.210018363652994,0,0.4363219887905869
TXN-0028,SABIC Materials,Finance,Net 15,2023-03-22,2023-04-06,2023-04-15,13367.19,13367.19,Normal,0,9,24,1.0,-0.0131713928239298,-0.0851090851011242,5,9.500633283220305,0,0.3693910473562722
TXN-0475,KSA Office Depot,IT,Net 60,2023-03-26,2023-05-25,2023-05-30,36900.27,36900.27,Normal,0,5,65,1.0,2.042579903568092,0.4050080942678742,3,10.51600124678053,0,0.4654117436079828
TXN-0299,Eastern Retail Ltd,Procurement,Net 90,2023-03-29,2023-06-27,2023-07-06,18963.85,18963.85,Normal,0,9,99,1.0,-0.1086755153672605,0.031451059728507,2,9.850342544785104,0,0.4457143955731433
TXN-0433,Al-Rajhi Supplies,IT,Net 15,2023-03-29,2023-04-13,2023-04-20,7978.25,7978.25,Normal,0,7,22,1.0,-0.2953311629888697,-0.1973431009030834,5,8.984599701064585,0,0.3608673038007557
TXN-0462,Noor Packaging,IT,Net 60,2023-03-31,2023-05-30,2023-06-06,10180.31,10180.31,Normal,0,7,67,1.0,-0.2552883507576531,-0.1514813847145821,7,9.228308965518996,0,0.38201951799055006
TXN-0087,Al-Rajhi Supplies,Procurement,Net 90,2023-04-02,2023-07-01,2023-07-04,20585.08,20585.08,Normal,0,3,93,1.0,-0.0016337162466461,0.0652159844518497,8,9.932370398215165,0,0.45408315261778365
TXN-0280,KSA Office Depot,Finance,Net 30,2023-04-03,2023-05-03,2023-05-06,7271.73,7271.73,Normal,0,3,33,1.0,-0.4609509625529702,-0.2120576044686084,4,8.891887015857577,0,0.365022696946977
TXN-0355,Gulf Trading Co.,IT,Net 15,2023-04-06,2023-04-21,2023-04-18,9747.7,9747.7,Normal,0,-3,12,1.0,-0.1944734352912426,-0.1604912377795792,4,9.18488922176888,0,0.37051179803327855
TXN-0490,Aramco Services,Operations,Net 90,2023-04-07,2023-07-06,2023-07-04,20036.52,20036.52,Normal,0,-2,88,1.0,0.9300239684339014,0.0537912716681997,4,9.90536179504582,0,0.434198451311593
TXN-0055,Madinah Goods,Logistics,Net 60,2023-04-08,2023-06-07,2023-06-11,22579.54,22579.54,Normal,0,4,64,1.0,0.7891725962132171,0.1067540708206673,5,10.024843752386694,0,0.39734666137209934
TXN-0048,SABIC Materials,Operations,Net 60,2023-04-08,2023-06-07,2023-06-16,23056.38,23056.38,Normal,0,9,69,1.0,0.6654695592277206,0.1166850902966693,6,10.045741170715978,0,0.41016565951916756
TXN-0412,Aramco Services,IT,Net 90,2023-04-08,2023-07-07,2023-07-07,4025.02,4025.02,Normal,0,0,90,1.0,-1.0434375913216676,-0.2796759675315445,4,8.300533573897283,0,0.4308655421317387
TXN-0149,Madinah Goods,Procurement,Immediate,2023-04-08,2023-04-08,2023-04-05,15026.24,15026.24,Normal,0,-3,-3,1.0,0.1578050694118352,-0.050556493326816,5,9.617619833149934,0,0.3970209504896088
TXN-0011,KSA Office Depot,Finance,Immediate,2023-04-09,2023-04-09,2023-04-06,6831.27,6831.27,Normal,0,-3,-3,1.0,-0.4981686319113551,-0.221230947389504,4,8.829412254593839,0,0.3935926814522041
TXN-0095,Noor Packaging,IT,Net 60,2023-04-09,2023-06-08,2023-06-16,7232.31,7232.31,Normal,0,8,68,1.0,-0.3594798309310775,-0.2128785942927507,6,8.886452025048786,0,0.3838880799692694
TXN-0440,Noor Packaging,IT,Net 15,2023-04-09,2023-04-24,2023-04-26,9466.95,9466.95,Normal,0,2,17,1.0,-0.2805007097456158,-0.1663383431354377,6,9.155667689673583,0,0.3656963100718849
TXN-0387,Madinah Goods,Operations,Net 30,2023-04-13,2023-05-13,2023-05-12,13009.11,13009.11,Normal,0,-1,29,1.0,-0.0108034036180815,-0.0925667217380816,5,9.473482026505396,0,0.36480651195154756
TXN-0252,Gulf Trading Co.,Operations,Immediate,2023-04-16,2023-04-16,2023-04-13,20625.63,20625.63,Normal,0,-3,-3,1.0,-0.0444969346209781,0.0660605084845481,4,9.934338238383182,0,0.4019643051610013
TXN-0437,Al-Rajhi Supplies,Operations,Immediate,2023-04-17,2023-04-17,2023-04-22,36420.7,36420.7,Normal,0,5,5,1.0,0.3672838595103116,0.3950202178101394,8,10.502920029841874,0,0.46243628932395786
TXN-0014,Riyadh Logistics,Finance,Net 90,2023-04-18,2023-07-17,2023-07-20,2141.74,2141.74,Normal,0,3,93,1.0,-1.025561111316388,-0.3188985376992425,1,7.66984066286809,1,0.5342667431344578
TXN-0292,Al-Rajhi Supplies,Operations,Net 90,2023-04-19,2023-07-18,2023-07-17,6671.5,6671.5,Normal,0,-1,89,1.0,-0.325774116414148,-0.2245584345585352,8,8.805749881278679,0,0.43327756727276306
TXN-0508,Aramco Services,Finance,Net 30,2023-04-19,2023-05-19,2023-05-20,4958.25,1926.89,Partial Payment,1,1,31,0.3886230020672616,-0.9284144185139552,-0.2602398352742059,4,8.509009798608218,0,0.5265750329437359
TXN-0276,SABIC Materials,IT,Immediate,2023-04-19,2023-04-19,2023-04-18,14323.87,14323.87,Normal,0,-1,-1,1.0,0.0538354700829563,-0.0651845659494137,6,9.569752466498132,0,0.3974025727578994
TXN-0382,Noor Packaging,Finance,Net 15,2023-04-20,2023-05-05,2023-05-09,6127.16,6127.16,Normal,0,4,19,1.0,-0.3985392659085742,-0.2358952585279315,6,8.72064982074015,0,0.3713777546956751
TXN-0253,Madinah Goods,Operations,Immediate,2023-04-21,2023-04-21,2023-04-23,54053.25,54053.25,Normal,0,2,2,1.0,3.420006594858037,0.7622486329212441,5,10.897743450873424,0,0.5170725672393114
TXN-0283,Al-Rajhi Supplies,Procurement,Immediate,2023-04-21,2023-04-21,2023-04-28,35200.43,35200.43,Normal,0,7,7,1.0,0.3388556040855829,0.3696059800448912,8,10.468841985761015,0,0.4565098232808707
TXN-0348,SABIC Materials,Procurement,Net 90,2023-04-21,2023-07-20,2023-07-19,3210.01,3210.01,Normal,0,-1,89,1.0,-0.7245908515568045,-0.2966499633857858,6,8.074340808379278,0,0.4277333976014548
TXN-0003,Al-Rajhi Supplies,Procurement,Net 30,2023-04-22,2023-05-22,2023-05-24,16616.49,16616.49,Normal,0,2,32,1.0,-0.0940887386564606,-0.0174367807991081,8,9.71821103414032,0,0.41056559651821845
TXN-0507,Gulf Trading Co.,IT,Immediate,2023-04-22,2023-04-22,2023-07-04,6161.56,6161.56,Late Payment,1,73,73,1.0,-0.2439163649767307,-0.2351788189046312,4,8.726247554611865,1,0.5390365650303206
TXN-0521,SABIC Materials,Operations,Net 30,2023-04-22,2023-05-22,2023-05-31,64891.4,64891.4,High Amount,1,9,39,1.0,3.595637901669125,0.9879718917372644,6,11.080485792599315,1,0.5436360704991429
TXN-0247,Noor Packaging,Procurement,Net 90,2023-04-22,2023-07-21,2023-07-30,6768.56,6768.56,Normal,0,9,99,1.0,-0.3758701969183318,-0.2225369918307003,6,8.820191371179734,0,0.41683652500023327
TXN-0022,KSA Office Depot,Logistics,Net 90,2023-04-23,2023-07-22,2023-07-21,8261.64,8261.64,Normal,0,-1,89,1.0,-0.3773062659299877,-0.1914410129714833,4,9.019499428040598,0,0.38778427333740273
TXN-0106,Al-Rajhi Supplies,Procurement,Net 15,2023-04-23,2023-05-08,2023-05-08,13673.85,13673.85,Normal,0,0,15,1.0,-0.162642519002633,-0.0787223590871346,8,9.523313658308634,0,0.4111642143176601
TXN-0302,Eastern Retail Ltd,Finance,Net 90,2023-04-24,2023-07-23,2023-07-28,6322.41,6322.41,Normal,0,5,95,1.0,-0.2113007404852704,-0.2318288388637058,2,8.75201389859441,0,0.414669500911372
TXN-0084,Aramco Services,Finance,Net 60,2023-04-25,2023-06-24,2023-06-19,6537.98,6537.98,Normal,0,-5,55,1.0,-0.7337083366482545,-0.2273392199801353,4,8.78553646898495,0,0.40114181175591446
